job_title,job_description,skills,category,location
"security engineer","design security controls perform threat modeling automate detection and partner with engineering teams on secure systems","security;risk assessment;incident response;network security;python;aws","cybersecurity","new york ny"
"penetration tester","perform web application testing exploit validation reporting and remediation guidance using burp suite linux and ethical hacking","penetration testing;security;linux;risk assessment;api design","cybersecurity","austin tx"
"network security analyst","protect enterprise networks manage firewalls investigate traffic and improve monitoring with siem and network security tools","network security;security;siem;incident response;risk assessment","cybersecurity","dallas tx"
"grc analyst","manage policies controls audits vendor reviews risk registers and evidence collection for security compliance programs","risk assessment;security;stakeholder management;project management","cybersecurity","atlanta ga"
"incident response analyst","triage security incidents coordinate containment document timelines and improve detection using siem and forensic workflows","incident response;siem;security;network security;risk assessment","cybersecurity","chicago il"
"application security engineer","review code and apis identify vulnerabilities guide remediation and build secure development practices for product teams","security;api design;penetration testing;risk assessment;python","cybersecurity","san francisco ca"
"soc analyst","monitor security events escalate suspicious activity document investigations and tune alerts in siem platforms","siem;security;incident response;network security","cybersecurity","phoenix az"
"identity access analyst","administer identity governance access reviews authentication controls and security reporting across cloud applications","security;risk assessment;azure;aws;stakeholder management","cybersecurity","remote united states"
"threat intelligence analyst","research adversary tactics enrich detections and brief stakeholders on cyber threats using structured intelligence workflows","security;siem;incident response;risk assessment;stakeholder management","cybersecurity","washington dc"
"product manager","own roadmap discovery prioritization metrics and launches while partnering with design engineering sales and customer success","product management;roadmapping;user research;agile;stakeholder management","product management","remote united states"
"technical product manager","translate customer needs into api platform requirements prioritize backlog and coordinate agile delivery with engineering teams","product management;api design;roadmapping;agile;jira;stakeholder management","product management","san francisco ca"
"ai product manager","define ai product strategy evaluate model quality run experiments and guide responsible machine learning feature launches","product management;machine learning;user research;roadmapping;stakeholder management","product management","new york ny"
"growth product manager","optimize activation retention and monetization funnels through experimentation analytics user research and cross functional roadmaps","product management;statistics;user research;roadmapping;data visualization","product management","austin tx"
"associate product manager","support discovery write user stories analyze feature metrics and coordinate agile ceremonies with product teams","product management;agile;jira;user research;stakeholder management","product management","seattle wa"
"product operations manager","improve product processes reporting launch readiness and feedback loops using jira dashboards and stakeholder communication","product management;jira;project management;data visualization;stakeholder management","product management","chicago il"
"platform product manager","manage developer platform roadmap api strategy documentation adoption metrics and cross functional delivery plans","product management;api design;roadmapping;user research;stakeholder management","product management","remote united states"
"ecommerce product manager","lead online shopping improvements conversion experiments merchandising workflows and roadmap planning with analytics partners","product management;google analytics;roadmapping;user research;agile","ecommerce","los angeles ca"
"fintech product manager","build financial product features define compliance aware requirements analyze metrics and partner with engineering and risk teams","product management;financial modeling;risk assessment;roadmapping;stakeholder management","finance","new york ny"
"healthtech product manager","shape healthcare workflows define ehr integrations evaluate outcomes and coordinate clinical stakeholder needs with engineering","product management;healthcare analytics;user research;roadmapping;stakeholder management","healthcare tech","boston ma"
"ux designer","design user flows wireframes prototypes and usability tests using figma accessibility research and product collaboration","ux design;figma;user research;accessibility;ui design;product management","design","remote united states"
"ui designer","create polished interfaces component libraries visual systems and responsive layouts using figma design systems and accessibility","ui design;figma;accessibility;ux design;html;css","design","new york ny"
"product designer","own end to end design from discovery to prototypes usability testing and final interface specifications in figma","ux design;ui design;figma;user research;accessibility;product management","design","san francisco ca"
"design systems designer","maintain reusable components tokens documentation and accessibility standards across product teams using figma","figma;ui design;ux design;accessibility;stakeholder management","design","seattle wa"
"ux researcher","plan interviews usability tests surveys and synthesize insights that guide product decisions and roadmap priorities","user research;ux design;product management;stakeholder management","design","chicago il"
"web designer","build responsive marketing pages and product experiences using figma html css accessibility and visual design principles","figma;html;css;ui design;accessibility;seo","design","miami fl"
"interaction designer","prototype complex workflows define interaction patterns and partner with engineers to ship accessible user interfaces","ux design;figma;accessibility;ui design;user research","design","austin tx"
"content designer","write product copy information architecture onboarding flows and ux content guidelines in collaboration with designers","ux design;content marketing;user research;product management","design","remote united states"
"brand designer","create visual identity assets web campaigns and launch materials using design systems and collaborative review processes","ui design;figma;content marketing;stakeholder management","design","los angeles ca"
"accessibility specialist","audit digital products against wcag create remediation guidance and train teams on inclusive design practices","accessibility;ux design;ui design;quality assurance;stakeholder management","design","washington dc"
"digital marketing specialist","manage seo paid campaigns analytics landing page tests and content calendars to improve lead generation","seo;google analytics;content marketing;lead generation;excel","marketing","remote united states"
"seo analyst","research keywords audit websites track rankings and recommend technical and content improvements using analytics tools","seo;google analytics;content marketing;data visualization;excel","marketing","new york ny"
"content marketing manager","plan editorial strategy write campaigns manage distribution and measure performance with seo and analytics","content marketing;seo;google analytics;project management;stakeholder management","marketing","austin tx"
"growth marketing manager","run acquisition experiments improve funnels analyze campaign performance and coordinate crm lifecycle programs","google analytics;lead generation;crm;statistics;content marketing","marketing","san francisco ca"
"marketing operations manager","manage campaign systems lead routing crm data quality reporting and process automation for revenue teams","crm;lead generation;google analytics;excel;project management","marketing","denver co"
"paid media specialist","optimize paid search social campaigns budgets tracking and conversion reporting using analytics and experimentation","google analytics;lead generation;statistics;excel;content marketing","marketing","los angeles ca"
"email marketing specialist","build lifecycle campaigns segment audiences improve deliverability and measure engagement in crm and analytics tools","crm;content marketing;google analytics;lead generation","marketing","remote united states"
"social media manager","manage social content calendars community engagement campaign reporting and brand storytelling across channels","content marketing;google analytics;project management;stakeholder management","marketing","miami fl"
"demand generation manager","create pipeline programs webinars nurture campaigns and attribution reporting to support b2b sales growth","lead generation;crm;content marketing;google analytics;stakeholder management","marketing","boston ma"
"marketing analyst","analyze campaign results attribution cohorts and conversion trends using sql spreadsheets and analytics platforms","sql;excel;google analytics;statistics;data visualization","marketing","chicago il"
"sales development representative","prospect accounts qualify leads manage crm activity and communicate value propositions to potential customers","lead generation;crm;communication;customer success;stakeholder management","sales","remote united states"
"account executive","manage sales cycles run discovery demos negotiate contracts and forecast pipeline using crm discipline","crm;lead generation;forecasting;stakeholder management;customer success","sales","new york ny"
"sales engineer","support technical sales demos map customer requirements and explain api cloud security and integration capabilities","api design;cloud computing;security;stakeholder management;customer success","sales","san francisco ca"
"customer success manager","own customer onboarding adoption health reviews renewals and expansion plans using crm and product usage data","customer success;crm;stakeholder management;data visualization;project management","customer success","austin tx"
"technical account manager","guide enterprise customers through integrations troubleshooting roadmap requests and success planning with technical teams","customer success;api design;stakeholder management;project management;cloud computing","customer success","seattle wa"
"implementation consultant","configure customer workflows manage projects migrate data and train users on saas platform capabilities","project management;customer success;sql;crm;stakeholder management","customer success","chicago il"
"support operations analyst","analyze ticket trends improve knowledge workflows build dashboards and automate support processes","sql;excel;data visualization;customer success;project management","customer success","remote united states"
"customer support specialist","resolve product issues document solutions identify patterns and escalate technical problems with clear communication","customer success;communication;crm;quality assurance","customer success","phoenix az"
"solutions consultant","design customer solutions lead workshops prepare demos and align product capabilities with business requirements","customer success;stakeholder management;api design;product management;crm","customer success","denver co"
"partnerships manager","develop partner pipeline negotiate joint plans track performance and coordinate campaigns with sales and marketing teams","lead generation;crm;stakeholder management;project management;forecasting","sales","los angeles ca"
"qa engineer","create test plans automate regression tests report defects and validate web applications using selenium playwright and agile processes","quality assurance;selenium;playwright;agile;jira;api design","quality assurance","remote united states"
"software test engineer","write automated tests for frontend backend and api workflows using python selenium ci cd and test data","quality assurance;python;selenium;ci cd;api design","quality assurance","new york ny"
"automation qa analyst","automate smoke and regression suites maintain test cases and verify releases with playwright jira and ci cd","quality assurance;playwright;jira;ci cd;api design","quality assurance","austin tx"
"manual qa tester","execute test cases document defects validate requirements and coordinate release readiness with product and engineering teams","quality assurance;jira;agile;stakeholder management","quality assurance","chicago il"
"performance test engineer","design load tests analyze bottlenecks and improve service reliability using monitoring scripting and ci cd workflows","quality assurance;site reliability;linux;ci cd;grafana","quality assurance","seattle wa"
"mobile qa engineer","test ios and android applications automate mobile scenarios and verify releases with quality metrics and defect tracking","quality assurance;mobile development;jira;playwright;agile","quality assurance","remote united states"
"api qa engineer","validate api contracts automate integration tests and improve backend release confidence using postman style workflows and ci cd","quality assurance;api design;ci cd;python;jira","quality assurance","dallas tx"
"game qa tester","test gameplay systems reproduce defects validate builds and communicate quality risks to designers and developers","quality assurance;unity;project management;communication","game development","los angeles ca"
"data quality analyst","monitor data pipelines validate transformations define quality rules and report issues using sql python and dashboards","sql;python;quality assurance;data cleaning;data visualization","data analytics","remote united states"
"accessibility qa tester","test web experiences for wcag compliance keyboard support screen reader flows and inclusive usability issues","quality assurance;accessibility;html;css;ux design","quality assurance","washington dc"
"ios developer","build native ios features using swift api integration mobile architecture testing and app store release practices","swift;mobile development;api design;quality assurance;ui design","mobile development","san francisco ca"
"android developer","develop android applications using kotlin api integration performance tuning testing and material design patterns","kotlin;mobile development;api design;quality assurance;ui design","mobile development","new york ny"
"react native developer","ship cross platform mobile features with react native javascript api integration state management and release workflows","react native;react;javascript;mobile development;api design","mobile development","remote united states"
"flutter developer","create cross platform apps using flutter dart api integrations responsive ui and automated mobile testing","flutter;mobile development;api design;quality assurance;ui design","mobile development","austin tx"
"mobile product engineer","own mobile features from design collaboration through backend integration analytics quality and release readiness","mobile development;api design;product management;quality assurance;google analytics","mobile development","seattle wa"
"mobile app designer","design mobile user flows prototypes and accessible interfaces using figma research and platform guidelines","figma;ux design;ui design;mobile development;accessibility","design","los angeles ca"
"mobile devops engineer","manage mobile build pipelines signing release automation crash monitoring and ci cd for ios and android apps","mobile development;ci cd;devops;quality assurance;site reliability","mobile development","remote united states"
"backend mobile api engineer","build apis that power mobile products with python fastapi sql cloud services and security practices","python;fastapi;sql;api design;aws;security","software engineering","boston ma"
"mobile growth analyst","analyze app funnels retention cohorts and campaign performance using sql analytics and experimentation methods","sql;google analytics;statistics;data visualization;mobile development","mobile development","chicago il"
"app store optimization specialist","improve app listing conversion keyword strategy screenshots experiments and performance reporting for mobile products","seo;google analytics;content marketing;mobile development;data visualization","marketing","miami fl"
"blockchain developer","build smart contracts decentralized applications and integrations using solidity javascript security testing and web3 tooling","blockchain;solidity;javascript;security;api design;quality assurance","blockchain","remote united states"
"web3 frontend engineer","create decentralized app interfaces using react typescript wallet integrations api services and blockchain data","react;typescript;blockchain;javascript;api design;security","blockchain","new york ny"
"smart contract auditor","review solidity contracts identify vulnerabilities write reports and guide remediation with security best practices","solidity;blockchain;security;risk assessment;penetration testing","blockchain","san francisco ca"
"defi product analyst","analyze protocol metrics user behavior financial risk and market trends using sql dashboards and blockchain data","blockchain;sql;financial modeling;risk assessment;data visualization","blockchain","remote united states"
"blockchain product manager","define wallet and protocol roadmap coordinate engineering research security and go to market delivery","blockchain;product management;roadmapping;security;stakeholder management","blockchain","austin tx"
"robotics software engineer","develop robotics applications using python c++ style systems ros computer vision sensors and testing workflows","robotics;python;computer vision;linux;quality assurance","robotics","pittsburgh pa"
"robotics perception engineer","build perception pipelines for robots using computer vision deep learning sensor fusion and python tooling","robotics;computer vision;python;deep learning;machine learning","robotics","boston ma"
"automation engineer","design industrial automation workflows analyze processes integrate sensors and improve reliability with scripting and dashboards","robotics;python;site reliability;data visualization;quality assurance","robotics","detroit mi"
"game developer","build gameplay features tools and interactive systems using unity c# testing and performance optimization","unity;c#;quality assurance;ui design;project management","game development","los angeles ca"
"unreal engine developer","create real time 3d gameplay systems using unreal engine blueprints c++ style patterns and optimization","unreal engine;quality assurance;ui design;project management","game development","seattle wa"
"learning experience designer","design digital courses assessments and learner journeys using research content strategy and accessibility principles","ux design;content marketing;user research;accessibility;project management","education tech","remote united states"
"instructional designer","create training materials simulations and evaluation plans aligned to business outcomes and learner needs","content marketing;project management;user research;accessibility","education tech","atlanta ga"
"edtech data analyst","analyze learning engagement outcomes and product experiments using sql python dashboards and education datasets","sql;python;statistics;data visualization;product management","education tech","chicago il"
"ecommerce analyst","analyze online revenue conversion merchandising and customer behavior using sql analytics dashboards and forecasting","sql;google analytics;forecasting;data visualization;excel","ecommerce","new york ny"
"ecommerce manager","manage online store operations promotions catalog performance and customer experience using analytics and cross functional planning","google analytics;project management;content marketing;customer success;forecasting","ecommerce","los angeles ca"
"supply chain analyst","forecast demand optimize inventory analyze logistics data and build planning dashboards with excel sql and python","supply chain;excel;sql;python;forecasting;data visualization","operations","memphis tn"
"logistics coordinator","coordinate shipments track carrier performance resolve exceptions and improve reporting with spreadsheets and operations systems","supply chain;excel;project management;stakeholder management","operations","dallas tx"
"business operations manager","improve cross functional processes manage metrics coordinate planning and deliver operational projects with stakeholders","project management;stakeholder management;data visualization;forecasting","operations","remote united states"
"financial analyst","build budgets forecasts variance reports and investment models using excel accounting and stakeholder communication","financial modeling;excel;accounting;forecasting;stakeholder management","finance","new york ny"
"accountant","prepare reconciliations journal entries financial statements and compliance reports using accounting systems and spreadsheets","accounting;excel;forecasting;risk assessment","finance","chicago il"
"revenue operations manager","align sales marketing and customer success processes manage crm data forecasting dashboards and revenue analytics","crm;forecasting;lead generation;data visualization;stakeholder management","sales","san francisco ca"
"legal operations analyst","manage contracts workflows vendor spend dashboards and process improvements for legal teams using analytics tools","project management;excel;data visualization;risk assessment;stakeholder management","legal tech","washington dc"
"compliance analyst","monitor regulations policies evidence and risk controls while preparing reports for audits and stakeholders","risk assessment;security;accounting;stakeholder management;project management","legal tech","new york ny"
"clinical informatics analyst","support ehr optimization clinical workflows reporting and healthcare data quality with sql and stakeholder collaboration","healthcare analytics;sql;data cleaning;stakeholder management;project management","healthcare tech","boston ma"
"healthcare product analyst","analyze patient engagement product usage and outcome metrics using sql dashboards and healthcare domain knowledge","healthcare analytics;sql;product management;data visualization;statistics","healthcare tech","remote united states"
"medical data coordinator","clean clinical datasets maintain documentation perform quality checks and coordinate data delivery for research teams","healthcare analytics;data cleaning;quality assurance;excel;project management","healthcare tech","philadelphia pa"
"hr generalist","support employee relations recruiting onboarding policies and people operations reporting with strong communication","stakeholder management;project management;excel;communication","human resources","atlanta ga"
"recruiter","source candidates manage interviews coordinate hiring teams and maintain applicant tracking data with clear stakeholder communication","stakeholder management;crm;project management;communication","human resources","remote united states"
"technical recruiter","source engineering talent evaluate technical profiles manage pipelines and partner with hiring managers using recruiting systems","stakeholder management;crm;project management;communication;api design","human resources","san francisco ca"
"talent operations analyst","improve hiring process metrics build recruiting dashboards and automate reporting using excel sql and stakeholder input","excel;sql;data visualization;stakeholder management;project management","human resources","chicago il"
"program manager","coordinate complex initiatives manage timelines risks dependencies communications and delivery across multiple stakeholders","project management;stakeholder management;risk assessment;agile;jira","operations","remote united states"
"technical program manager","drive engineering programs define milestones manage dependencies and communicate risks across product infrastructure and leadership","project management;agile;jira;stakeholder management;risk assessment","operations","seattle wa"
"scrum master","facilitate agile ceremonies remove blockers coach teams and improve delivery practices using jira and metrics","agile;jira;project management;stakeholder management","operations","denver co"
"data engineer","build data pipelines warehouses and batch workflows using python sql cloud storage orchestration and quality checks","python;sql;data cleaning;aws;docker;quality assurance","data engineering","remote united states"
"analytics engineer","model business data build semantic layers test transformations and document metrics using sql python and analytics workflows","sql;python;data cleaning;quality assurance;data visualization","data engineering","new york ny"
"etl developer","design extraction transformation and loading workflows validate data quality and optimize sql pipeline performance","sql;data cleaning;python;quality assurance;linux","data engineering","chicago il"
"database administrator","manage database performance backups security access and reliability for production sql systems","sql;security;site reliability;linux;risk assessment","data engineering","dallas tx"
"data platform engineer","operate scalable data platforms automate ingestion monitor pipelines and support analytics teams with cloud tooling","sql;python;aws;docker;site reliability;data cleaning","data engineering","san francisco ca"
